anzahl;vorname;geschlecht;position
46;Marie;w;2
35;Maria;w;2
34;Charlotte;w;1
34;Sophie;w;2
32;Emma;w;1
31;Noah;m;1
30;Charlotte;w;2
27;Emilia;w;1
27;Anton;m;1
27;Leon;m;1
26;Emil;m;1
25;Leo;m;1
25;Paul;m;1
24;Mila;w;1
24;Jonathan;m;1
22;Adam;m;1
21;Clara;w;1
21;Mia;w;1
21;Elias;m;1
21;Levi;m;1
21;Liam;m;1
20;Ida;w;1
20;Milan;m;1
19;Lina;w;1
19;Malik;m;1
19;Luise;w;2
19;Maximilian;m;2
18;David;m;1
18;Louis;m;1
18;Elisabeth;w;2
18;Alexander;m;2
17;Sophia;w;1
16;Amalia;w;1
16;Anna;w;1
16;Elena;w;1
16;Sophie;w;1
16;Leonard;m;1
16;Luca;m;1
16;Theo;m;1
16;Sophia;w;2
15;Alma;w;1
15;Lea;w;1
15;Lilly;w;1
15;Marie;w;1
15;Mira;w;1
15;Finn;m;1
15;Levi;m;2
14;Isabella;w;1
14;Maya;w;1
14;Olivia;w;1
14;Ben;m;1
14;Jakob;m;1
14;Maximilian;m;1
14;Oskar;m;1
14;Theodor;m;1
14;Elias;m;2
13;Ella;w;1
13;Benjamin;m;1
13;Felix;m;1
13;Gabriel;m;1
13;Henry;m;1
13;Linus;m;1
13;Matteo;m;1
13;Emilia;w;2
13;Ida;w;2
12;Cleo;w;1
12;Helena;w;1
12;Lena;w;1
12;Maria;w;1
12;Romy;w;1
12;Luis;m;1
12;Samuel;m;1
12;Paul;m;2
12;Valentin;m;2
11;Ada;w;1
11;Alva;w;1
11;Frida;w;1
11;Livia;w;1
11;Mathilda;w;1
11;Matilda;w;1
11;Jonas;m;1
11;Lio;m;1
11;Lou;w;2
11;Felix;m;2
11;Gabriel;m;2
11;Johann;m;2
10;Elisa;w;1
10;Lia;w;1
10;Malia;w;1
10;Mara;w;1
10;Mina;w;1
10;Alexander;m;1
10;Ali;m;1
10;Bruno;m;1
10;Carlo;m;1
10;Emilio;m;1
10;Ilyas;m;1
10;Julius;m;1
10;Karl;m;1
10;Raphael;m;1
10;Anna;w;2
10;Helene;w;2
10;Louis;m;2
9;Amelie;w;1
9;Ayla;w;1
9;Juna;w;1
9;Klara;w;1
9;Nisa;w;1
9;Paula;w;1
9;Johann;m;1
9;Jonah;m;1
9;Joshua;m;1
9;Leopold;m;1
9;Mateo;m;1
9;Milo;m;1
9;Mohamad;m;1
9;Aurora;w;2
9;Luisa;w;2
9;Valentina;w;2
9;Karl;m;2
9;Noah;m;2
9;Alexander;m;3
8;Ava;w;1
8;Carlotta;w;1
8;Eva;w;1
8;Hanna;w;1
8;Hannah;w;1
8;Laura;w;1
8;Leonie;w;1
8;Liya;w;1
8;Marlene;w;1
8;Sofia;w;1
8;Adrian;m;1
8;Arthur;m;1
8;Ayaz;m;1
8;Elian;m;1
8;Henri;m;1
8;Jona;m;1
8;Leonardo;m;1
8;Lukas;m;1
