anzahl;vorname;geschlecht;position
31;Sophie;w;2
29;Emilia;w;1
27;Leon;m;1
26;Emma;w;1
26;Mia;w;1
24;Lina;w;1
24;Emil;m;1
23;Charlotte;w;1
23;Liam;m;1
23;Marie;w;2
22;Anna;w;1
22;Jonas;m;1
22;Levi;m;1
21;Luna;w;1
21;Anton;m;1
21;Henry;m;1
20;Lia;w;1
20;Mila;w;1
20;Elias;m;1
20;Leo;m;1
20;Emilia;w;2
19;Sophia;w;1
19;Adam;m;1
19;David;m;1
19;Felix;m;1
19;Louis;m;1
18;Noah;m;1
17;Ella;w;1
17;Hanna;w;1
17;Leni;w;1
17;Milan;m;1
17;Theo;m;1
17;Alexander;m;2
16;Sofia;w;1
16;Jakob;m;1
16;Luca;m;1
16;Mika;m;1
16;Oskar;m;1
16;Paul;m;1
16;Maria;w;2
15;Ida;w;1
15;Malia;w;1
15;Daniel;m;1
15;Emilio;m;1
15;Finn;m;1
15;Lio;m;1
14;Helena;w;1
14;Marie;w;1
14;Nora;w;1
14;Sophie;w;1
14;Karl;m;1
14;Charlotte;w;2
13;Clara;w;1
13;Lea;w;1
13;Leonie;w;1
13;Benjamin;m;1
13;Linus;m;1
13;Luis;m;1
13;Matteo;m;1
13;Samuel;m;1
13;Emil;m;2
12;Elena;w;1
12;Elisa;w;1
12;Lena;w;1
12;Lilly;w;1
12;Lisa;w;1
12;Friedrich;m;1
12;Leonard;m;1
12;Maxim;m;1
12;Theodor;m;1
12;Maximilian;m;2
12;Theodor;m;2
11;Amalia;w;1
11;Lara;w;1
11;Luisa;w;1
11;Mira;w;1
11;Nele;w;1
11;Rosa;w;1
11;Alexander;m;1
11;Ben;m;1
11;Moritz;m;1
11;Luise;w;2
11;Elias;m;2
11;Friedrich;m;2
11;Levi;m;2
10;Cleo;w;1
10;Elisabeth;w;1
10;Hannah;w;1
10;Julia;w;1
10;Livia;w;1
10;Matilda;w;1
10;August;m;1
10;Fritz;m;1
10;Johann;m;1
10;Joshua;m;1
10;Lukas;m;1
10;Milo;m;1
10;Michael;m;2
10;Paul;m;2
9;Emily;w;1
9;Hailey;w;1
9;Johanna;w;1
9;Olivia;w;1
9;Thea;w;1
9;Viktoria;w;1
9;James;m;1
9;Jonah;m;1
9;Leano;m;1
9;Leonardo;m;1
9;Maximilian;m;1
9;Valentin;m;1
9;Emilio;m;2
8;Amelia;w;1
8;Aurora;w;1
8;Maria;w;1
8;Maya;w;1
8;Ruby;w;1
8;Valentina;w;1
8;Carlo;m;1
8;Edgar;m;1
8;Levin;m;1
8;Malte;m;1
8;Matheo;m;1
8;Ryan;m;1
8;Helene;w;2
8;Olivia;w;2
8;Valentina;w;2
8;Fritz;m;2
8;Karl;m;2
8;Leon;m;2
8;Thomas;m;2
7;Alea;w;1
7;Alma;w;1
7;Amelie;w;1
7;Frieda;w;1
7;Klara;w;1
7;Laura;w;1
7;Melina;w;1
7;Milena;w;1
7;Pauline;w;1
7;Pia;w;1
7;Stella;w;1
7;Zoe;w;1
7;Arthur;m;1
7;Bruno;m;1
7;Erik;m;1
7;Fiete;m;1
7;Frederik;m;1
7;Gabriel;m;1
7;Jan;m;1
7;Jaro;m;1
7;Jona;m;1
7;Jonathan;m;1
7;Julian;m;1
7;Konstantin;m;1
7;Lucas;m;1
7;Luka;m;1
7;Ole;m;1
7;Tim;m;1
7;Vincent;m;1
7;Grace;w;2
7;Johanna;w;2
7;Malou;w;2
7;Pauline;w;2
7;Sophia;w;2
7;Felix;m;2
7;Finn;m;2
6;Ada;w;1
6;Alina;w;1
6;Carla;w;1
6;Carlotta;w;1
6;Elina;w;1
6;Fiona;w;1
6;Flora;w;1
6;Helene;w;1
6;Juna;w;1
6;Lily;w;1
6;Lotte;w;1
6;Marlene;w;1
6;Martha;w;1
6;Mathilda;w;1
6;Paula;w;1
6;Alex;m;1
6;Charlie;m;1
6;Damir;m;1
6;Hamza;m;1
6;Julius;m;1
6;Karlo;m;1
6;Kevin;m;1
6;Kian;m;1
6;Nathan;m;1
6;Nils;m;1
6;Oscar;m;1
6;Rio;m;1
6;Robin;m;1
6;Tony;m;1
6;Alma;w;2
6;An;w;2
6;Karlotta;w;2
6;Mathilda;w;2
6;Ali;m;2
6;Christian;m;2
6;Georg;m;2
6;Jasper;m;2
6;Valentin;m;2
6;Wilhelm;m;2
