anzahl;vorname;geschlecht;position
9;Noah;m;1
7;Elias;m;1
7;Ibrahim;m;1
6;Adam;m;1
6;Ali;m;1
6;Liam;m;1
5;Adam;m;2
4;Amaya;w;1
4;Lara;w;1
4;Mia;w;1
4;Sara;w;1
4;Bilal;m;1
4;Leon;m;1
4;Luca;m;1
4;Alexander;m;2
4;Ali;m;2
3;Amalia;w;1
3;Maria;w;1
3;Medina;w;1
3;Mila;w;1
3;Sophie;w;1
3;Zeynep;w;1
3;Ahmad;m;1
3;Alexander;m;1
3;Gabriel;m;1
3;Leonardo;m;1
3;Mehmet;m;1
3;Mohammed;m;1
3;Sam;m;1
3;Yasin;m;1
3;Sophie;w;2
3;Emil;m;2
2;Alia;w;1
2;Ayla;w;1
2;Eda;w;1
2;Ela;w;1
2;Eliana;w;1
2;Elif;w;1
2;Emma;w;1
2;Fatima;w;1
2;Flora;w;1
2;Hanna;w;1
2;Iva;w;1
2;Lea;w;1
2;Lejla;w;1
2;Lena;w;1
2;Liliana;w;1
2;Linda;w;1
2;Lou;w;1
2;Lujain;w;1
2;Luna;w;1
2;Mathilda;w;1
2;Melike;w;1
2;Mina;w;1
2;Mira;w;1
2;Niayesh;w;1
2;Nura;w;1
2;Rose;w;1
2;Sofia;w;1
2;Tamara;w;1
2;Theresa;w;1
2;Wilma;w;1
2;Adem;m;1
2;Ahmet;m;1
2;Aleksandar;m;1
2;Alpaslan;m;1
2;Amir;m;1
2;Anas;m;1
2;Anton;m;1
2;Antonio;m;1
2;Aron;m;1
2;Azad;m;1
2;Barış;m;1
2;Bruno;m;1
2;Daniel;m;1
2;Eric;m;1
2;Finn;m;1
2;Hasan;m;1
2;Jawad;m;1
2;Jona;m;1
2;Jonas;m;1
2;Leo;m;1
2;Levi;m;1
2;Lio;m;1
2;Lukas;m;1
2;Maurice;m;1
2;Maximilian;m;1
2;Mete;m;1
2;Milan;m;1
2;Milo;m;1
2;Miran;m;1
2;Miraç;m;1
2;Mladen;m;1
2;Mohammad;m;1
2;Muhammed;m;1
2;Mustafa;m;1
2;Omar;m;1
2;Rami;m;1
2;Taim;m;1
2;Theodor;m;1
2;Yussef;m;1
2;Zion;m;1
2;Anastasia;w;2
2;Clara;w;2
2;Dua;w;2
2;Emilia;w;2
2;Marie;w;2
2;Marlene;w;2
2;Rosa;w;2
2;Rut;w;2
2;Viktoria;w;2
2;Can;m;2
2;David;m;2
2;Elias;m;2
2;Emanuel;m;2
2;Emin;m;2
2;Fiete;m;2
2;Karl;m;2
2;Mustafa;m;2
1;Aaliyah;w;1
1;Aasiyah;w;1
1;Acelya;w;1
1;Ada;w;1
1;Adina;w;1
1;Aisha;w;1
1;Aiva;w;1
1;Akira;w;1
1;Aleyna;w;1
1;Alina;w;1
1;Alisa;w;1
1;Alison;w;1
1;Alissa;w;1
1;Alma;w;1
1;Almira;w;1
1;Alya;w;1
1;Amaliya;w;1
1;Amilia;w;1
1;Amina;w;1
1;Amine;w;1
1;Amira;w;1
1;An;w;1
1;Anastasija;w;1
1;Andera;w;1
1;Andreia;w;1
1;Aneliya;w;1
1;Angel;w;1
1;Anita;w;1
1;Annabell;w;1
1;Annabelle;w;1
1;Antonia;w;1
1;Ariella;w;1
1;Arsiema;w;1
1;Arya;w;1
1;Aseel;w;1
1;Asmin;w;1
1;Asya;w;1
1;Aurelia;w;1
1;Avanee;w;1
1;Avara-Roza;w;1
1;Aylin;w;1
1;Aylis;w;1
1;Ayliz;w;1
1;Ayse;w;1
1;Azelya;w;1
1;Azra;w;1
1;Barakah;w;1
1;Betül;w;1
1;Beverly;w;1
1;Caimile;w;1
1;Carlotta;w;1
1;Cathrine;w;1
1;Cedra;w;1
1;Celine;w;1
1;Chanel;w;1
1;Charleen;w;1
1;Charlotte;w;1
1;Chimbusonma;w;1
1;Christy;w;1
1;Dalia;w;1
1;Dana;w;1
1;Darija;w;1
1;Deewa;w;1
1;Delal;w;1
1;Derin;w;1
1;Dolce;w;1
1;Dorothea;w;1
1;Dua;w;1
1;Dzhamilya;w;1
1;Eileen;w;1
1;Eirini;w;1
1;Eleanor;w;1
1;Eleen;w;1
1;Elena;w;1
1;Eleonora;w;1
1;Elina;w;1
1;Elisa;w;1
1;Eliz;w;1
1;Elois;w;1
1;Emanuela;w;1
1;Emely;w;1
1;Emilia;w;1
1;Emily;w;1
1;Emilya;w;1
1;Emine;w;1
1;Esila;w;1
1;Eslem;w;1
1;Fadila;w;1
1;Fatimah;w;1
1;Feline;w;1
1;Filomena;w;1
1;Firdevs;w;1
1;Florentina;w;1
1;Floria;w;1
1;Franceska;w;1
1;Freya;w;1
1;Genoveva;w;1
1;Giulia;w;1
1;Hailee;w;1
1;Hailey;w;1
1;Hana;w;1
1;Hanifa;w;1
1;Helin;w;1
1;Henrike;w;1
1;Hermine;w;1
1;Hiranur;w;1
1;Hoda;w;1
1;Ida;w;1
1;Idil;w;1
1;Ilknur;w;1
1;Iman;w;1
1;Innas;w;1
1;Irma;w;1
1;Izabella;w;1
1;İlay;w;1
1;Jahida;w;1
1;Jamila;w;1
1;Jana;w;1
1;Jasmina;w;1
1;Jasmine;w;1
1;Jennifer;w;1
1;Jette;w;1
1;Joanna;w;1
1;Johanna;w;1
1;Judith;w;1
1;Junalie;w;1
1;Karina;w;1
1;Kinda;w;1
1;Klara;w;1
1;Laila;w;1
1;Lamantia;w;1
1;Lamis;w;1
1;Larin;w;1
1;Lavin;w;1
1;Laya;w;1
1;Layal;w;1
1;Layali;w;1
1;Layla;w;1
1;Leeah;w;1
1;Leni;w;1
1;Leona;w;1
1;Levke;w;1
1;Lia;w;1
1;Liana;w;1
1;Liara;w;1
1;Lina;w;1
1;Livia;w;1
1;Liyah;w;1
1;Liyana;w;1
1;Louisa;w;1
1;Lucija;w;1
1;Lucy;w;1
1;Luisa;w;1
1;Luise;w;1
1;Luka;w;1
1;Luzia;w;1
1;Maha;w;1
1;Maja;w;1
1;Malak;w;1
1;Malea;w;1
1;Malika;w;1
1;Malu;w;1
1;Mania;w;1
1;Manolya;w;1
1;Margarita;w;1
1;Mariama;w;1
1;Marie;w;1
1;Martha;w;1
1;Masal;w;1
1;Maya;w;1
1;Melek;w;1
1;Melena;w;1
1;Melissa;w;1
1;Meliye;w;1
1;Meriem;w;1
1;Merle;w;1
1;Meva;w;1
1;Minel;w;1
1;Minja;w;1
1;Miray;w;1
